Hour,Demand_Zone 1,Demand_Zone 2,Demand_Zone 3,Demand_Zone 4,Demand_Zone 5
1,8.2,0.0,8.3,8.0,6.1
2,8.6,0.0,8.6,8.2,6.2
3,9.3,0.0,9.2,8.6,6.4
4,9.8,0.0,9.7,8.9,6.6
5,10.4,0.0,10.2,9.4,6.9
6,10.9,0.0,10.6,9.6,7.0
7,11.3,0.0,10.9,9.8,7.1
8,11.7,0.0,11.3,10.0,7.3
9,11.8,0.0,11.4,-1.9,-0.2
10,11.9,0.0,11.4,-2.0,-0.3
11,12.1,0.0,11.5,-2.0,-0.3
12,12.3,0.0,11.8,-1.9,-0.2
13,12.5,0.0,2.7,4.1,3.5
14,12.8,0.0,3.1,-1.5,0.0
15,13.1,0.0,3.4,-1.3,0.2
16,13.5,0.0,3.8,-0.9,0.5
17,13.8,0.0,4.1,-0.7,0.6
18,13.8,0.0,4.1,10.8,7.5
19,13.7,0.0,4.1,10.6,7.3
20,13.7,0.0,-8.9,10.5,7.2
21,13.8,0.0,-8.8,10.5,7.2
22,13.3,0.0,-9.1,9.9,6.8
23,12.5,0.0,-9.8,9.1,6.1
24,12.5,0.0,11.6,9.1,6.1
25,13.1,0.0,12.0,9.5,6.4
26,13.3,0.0,12.2,9.7,6.6
27,13.4,0.0,12.3,9.8,6.7
28,13.3,0.0,12.2,9.7,6.6
29,13.5,0.0,12.4,9.9,6.7
30,13.6,0.0,12.5,10.0,6.8
31,13.4,0.0,12.4,9.8,6.7
32,13.5,0.0,12.4,9.8,6.7
33,13.4,0.0,12.4,-1.4,-0.0
34,13.4,0.0,12.4,-1.5,-0.0
35,13.3,0.0,12.4,-1.6,-0.1
36,13.4,0.0,12.5,-1.5,0.0
37,13.2,0.0,3.9,3.9,3.2
38,15.1,0.0,5.8,0.3,1.4
39,15.9,0.0,6.6,1.1,2.0
40,16.8,0.0,7.5,2.0,2.6
41,17.2,0.0,7.9,2.4,2.9
42,17.6,0.0,8.3,13.9,9.7
43,18.1,0.0,8.8,14.2,9.9
44,18.4,0.0,-2.8,14.4,10.0
45,18.9,0.0,-2.1,14.7,10.2
46,19.4,0.0,-1.5,15.1,10.5
47,19.8,3.7,-0.9,15.3,10.6
48,20.1,10.9,18.7,15.6,10.8
49,20.4,6.4,18.9,15.7,10.9
50,20.5,6.6,19.0,15.8,11.0
51,20.4,6.5,19.0,15.8,11.0
52,20.5,6.7,19.0,15.8,11.0
53,20.7,7.2,19.2,16.1,11.2
54,21.1,8.2,19.7,16.6,11.6
55,21.2,8.5,19.8,16.7,11.7
56,21.4,9.1,20.1,17.0,11.9
57,21.3,13.1,20.0,6.1,5.7
58,20.1,9.2,18.9,4.9,4.8
59,18.3,0.4,16.9,2.6,3.2
60,17.0,0.0,15.2,0.3,1.8
61,15.3,0.0,5.9,3.7,3.8
62,15.1,0.0,6.1,-1.2,0.9
63,15.0,0.0,6.1,-1.5,1.1
64,9.3,0.0,6.7,0.9,1.9
65,10.2,0.0,7.5,1.7,2.5
66,11.1,0.0,8.3,13.6,9.6
67,11.6,0.0,8.6,13.7,9.6
68,2.9,0.0,-3.3,13.4,9.4
69,3.2,0.0,-3.1,13.4,9.3
70,4.1,0.0,-2.4,14.1,9.8
71,4.1,0.0,-2.6,13.7,9.5
72,12.7,3.2,16.9,13.8,9.6
73,18.2,1.7,16.9,13.7,9.5
74,18.3,2.0,17.0,13.8,9.6
75,18.1,1.3,16.8,13.5,9.3
76,18.4,2.0,17.0,13.8,9.6
77,18.3,1.8,17.0,13.7,9.5
78,18.4,2.0,17.1,13.8,9.6
79,18.1,1.4,16.8,13.5,9.4
80,18.0,1.1,16.7,13.4,9.3
81,18.0,3.0,16.8,2.8,3.2
82,18.0,2.8,16.8,2.7,3.2
83,17.8,2.1,16.6,2.5,3.0
84,17.7,1.7,16.6,2.4,2.9
85,17.7,1.4,8.9,7.8,6.1
86,17.6,1.5,8.8,2.4,2.9
87,17.6,1.8,8.8,2.4,2.9
88,17.7,2.0,8.8,2.4,2.9
89,17.9,2.9,9.1,2.7,3.2
90,17.9,2.9,9.1,13.6,9.4
91,17.9,3.5,9.1,13.6,9.4
92,17.8,3.4,-2.5,13.5,9.4
93,17.5,2.2,-2.8,13.2,9.1
94,17.2,1.0,-3.1,12.8,8.8
95,16.7,0.0,-3.6,12.3,8.5
96,16.6,0.0,15.5,12.2,8.4
97,16.4,0.0,15.2,11.8,8.1
98,16.0,0.0,14.8,11.5,7.8
99,15.8,0.0,14.6,11.3,7.7
100,16.0,0.0,14.8,11.5,7.9
101,15.9,0.0,14.7,11.5,7.9
102,16.1,0.0,14.9,11.7,8.1
103,16.2,0.0,15.1,11.9,8.2
104,15.9,0.0,14.7,11.5,7.9
105,15.6,0.0,14.5,0.5,1.5
106,15.4,0.0,14.3,0.3,1.3
107,14.7,0.0,13.7,-0.5,0.8
108,14.3,0.0,13.4,-1.0,0.4
109,14.3,0.0,5.5,4.7,3.8
110,14.3,0.0,5.5,-0.8,0.6
111,14.4,0.0,5.5,-0.6,0.8
112,8.2,0.0,5.5,-0.6,0.8
113,8.5,0.0,5.8,-0.1,1.1
114,8.4,0.0,5.7,10.9,7.6
115,8.4,0.0,5.7,11.0,7.6
116,-0.9,0.0,-6.4,11.0,7.6
117,-0.9,0.0,-6.4,11.0,7.6
118,-1.0,0.0,-6.5,10.9,7.5
119,-0.7,0.0,-6.2,11.2,7.8
120,8.8,0.0,14.2,11.4,7.9
121,15.1,0.0,14.1,11.2,7.8
122,15.2,0.0,14.2,11.3,7.9
123,15.5,0.0,14.5,11.6,8.1
124,15.4,0.0,14.3,11.4,8.0
125,16.1,0.0,15.1,12.2,8.5
126,16.0,0.0,14.9,12.0,8.4
127,16.2,0.0,15.1,12.2,8.5
