Hour,Demand_Zone 1,Demand_Zone 2,Demand_Zone 3,Demand_Zone 4,Demand_Zone 5
1,64.8,88.0,93.6,99.0,65.9
2,8.2,18.5,8.5,8.3,6.4
3,8.5,19.2,8.8,8.6,6.7
4,8.7,19.7,9.0,8.8,6.9
5,9.0,20.4,9.4,9.2,7.2
6,9.1,20.7,9.5,9.3,7.3
7,9.2,20.8,9.5,9.4,7.3
8,9.3,21.2,9.7,9.5,7.5
9,9.2,23.8,9.6,-3.2,-0.6
10,8.9,23.0,9.4,-3.4,-0.8
11,8.8,22.5,9.3,-3.5,-0.9
12,8.8,22.1,9.4,-3.5,-0.8
13,8.8,21.6,-1.2,2.8,3.2
14,8.9,22.2,-1.1,-3.4,-0.7
15,9.0,22.7,-1.1,-3.3,-0.6
16,9.2,24.0,-0.9,-3.0,-0.4
17,9.3,24.3,-0.8,-2.9,-0.4
18,9.1,23.8,-1.0,9.6,7.6
19,8.8,24.2,-1.2,9.4,7.4
20,8.7,23.7,-17.3,9.2,7.3
21,8.6,23.4,-17.4,9.1,7.3
22,8.0,21.4,-18.0,8.5,6.8
23,7.2,18.5,-18.8,7.7,6.2
24,7.2,18.5,7.9,7.7,6.2
25,7.7,17.8,8.3,8.1,6.5
26,7.9,18.3,8.5,8.3,6.7
27,8.0,18.4,8.5,8.4,6.7
28,7.8,18.1,8.4,8.2,6.6
29,8.0,18.6,8.6,8.4,6.8
30,8.1,18.7,8.7,8.5,6.8
31,7.9,18.3,8.5,8.3,6.7
32,7.9,18.3,8.5,8.3,6.7
33,7.8,19.9,8.5,-4.3,-1.3
34,7.7,19.5,8.5,-4.4,-1.4
35,7.7,19.1,8.4,-4.5,-1.4
36,7.8,19.3,8.5,-4.4,-1.4
37,7.6,18.0,-2.3,1.7,2.5
38,9.4,24.5,-0.5,-2.6,-0.0
39,10.1,27.0,0.2,-1.9,0.6
40,10.8,29.3,0.9,-1.1,1.2
41,11.1,30.3,1.2,-0.8,1.4
42,11.3,30.8,1.3,12.1,9.6
43,11.5,33.8,1.6,12.4,9.8
44,11.6,34.2,-14.3,12.5,9.9
45,11.9,35.1,-14.0,12.7,10.1
46,12.1,36.0,-13.8,13.0,10.4
47,12.2,36.5,-13.6,13.2,10.5
48,12.4,37.2,13.3,13.4,10.7
49,12.7,29.9,13.5,13.6,10.8
50,12.8,30.0,13.5,13.6,10.9
51,12.7,29.9,13.5,13.6,10.9
52,12.8,30.1,13.6,13.7,10.9
53,13.0,30.6,13.8,13.9,11.1
54,13.4,31.6,14.2,14.4,11.5
55,13.5,31.9,14.3,14.5,11.6
56,13.8,32.5,14.6,14.8,11.8
57,13.6,38.4,14.5,2.1,3.7
58,12.4,34.5,13.4,0.8,2.8
59,10.6,25.6,11.5,-1.5,1.2
60,9.3,13.6,9.7,-3.8,-0.1
61,7.9,4.8,-2.3,0.7,2.8
62,8.1,10.6,-1.7,-4.9,-0.9
63,8.2,7.6,-1.3,-5.1,-0.7
64,-2.2,28.4,-0.4,-2.6,0.2
65,-1.5,31.6,0.2,-1.8,0.7
66,-0.8,34.5,0.8,11.6,9.4
67,-0.7,34.9,0.9,11.7,9.4
68,-18.2,30.0,-15.4,11.3,9.2
69,-18.3,29.8,-15.4,11.3,9.1
70,-17.7,31.9,-14.9,11.9,9.6
71,-18.1,30.3,-15.3,11.4,9.3
72,-0.9,34.3,11.5,11.6,9.3
73,10.6,25.0,11.4,11.4,9.2
74,10.7,25.2,11.5,11.5,9.3
75,10.4,24.6,11.2,11.2,9.1
76,10.7,25.3,11.5,11.5,9.3
77,10.6,25.1,11.4,11.4,9.3
78,10.7,25.3,11.5,11.6,9.4
79,10.4,24.6,11.2,11.3,9.1
80,10.3,24.4,11.1,11.2,9.1
81,10.3,28.2,11.3,-1.4,1.1
82,10.3,28.0,11.3,-1.4,1.1
83,10.1,27.3,11.1,-1.6,0.9
84,10.0,26.8,11.0,-1.7,0.9
85,10.0,26.5,0.4,4.6,4.9
86,9.9,26.6,0.3,-1.8,0.8
87,9.9,26.9,0.3,-1.7,0.8
88,10.0,27.1,0.3,-1.7,0.9
89,10.2,28.0,0.5,-1.4,1.1
90,10.2,28.1,0.6,11.3,9.2
91,10.2,29.6,0.5,11.3,9.1
92,10.1,29.4,-15.5,11.2,9.1
93,9.8,28.2,-15.9,10.9,8.8
94,9.5,27.1,-16.2,10.5,8.6
95,9.0,25.5,-16.6,10.0,8.2
96,8.9,25.2,9.9,9.9,8.1
97,8.7,20.8,9.6,9.6,7.8
98,8.4,20.0,9.3,9.2,7.6
99,8.2,19.7,9.1,9.0,7.4
100,8.5,20.2,9.4,9.3,7.6
101,8.5,20.2,9.4,9.3,7.6
102,8.7,20.7,9.6,9.5,7.8
103,8.9,21.1,9.7,9.7,7.9
104,8.5,20.3,9.4,9.3,7.7
105,8.3,22.0,9.3,-3.4,-0.5
106,8.1,21.2,9.1,-3.7,-0.6
107,7.5,18.0,8.5,-4.4,-1.2
108,7.2,16.2,8.2,-4.9,-1.5
109,7.4,17.6,-2.2,1.8,2.7
110,7.5,17.8,-2.1,-4.5,-1.3
111,7.7,19.0,-2.0,-4.2,-1.1
112,-3.7,21.8,-2.0,-4.2,-1.1
113,-3.3,24.0,-1.6,-3.7,-0.7
114,-3.4,23.6,-1.7,8.9,7.3
115,-3.3,23.8,-1.7,9.0,7.3
116,-20.4,22.3,-17.6,9.0,7.4
117,-20.4,22.2,-17.6,9.0,7.4
118,-20.6,21.7,-17.8,8.8,7.2
119,-20.2,22.9,-17.4,9.2,7.5
120,-2.9,23.4,9.4,9.3,7.6
121,8.5,20.1,9.3,9.2,7.5
122,8.6,20.3,9.4,9.3,7.6
123,8.9,21.0,9.7,9.6,7.8
124,8.7,20.6,9.5,9.4,7.7
125,9.4,22.3,10.2,10.2,8.3
126,9.2,21.8,10.0,10.0,8.1
127,9.4,22.3,10.2,10.2,8.3
128,9.6,22.6,10.4,10.3,8.4
129,9.8,26.5,10.7,10.7,8.7
130,9.6,25.9,10.5,10.5,8.5
131,9.3,24.0,10.2,10.1,8.2
132,9.1,22.9,10.1,9.9,8.1
133,9.0,22.5,-0.7,9.7,8.0
134,8.0,15.9,-1.7,8.3,7.1
135,8.4,18.8,-1.3,8.9,7.5
136,-1.5,31.3,0.2,10.8,8.7
137,-1.1,33.4,0.6,11.3,9.1
138,-0.8,34.6,0.8,11.6,9.3
139,-0.3,36.9,1.4,12.2,9.8
140,-17.2,33.5,-14.4,12.4,9.9
141,-17.1,34.0,-14.3,12.5,10.1
142,-17.1,33.9,-14.3,12.5,10.0
