Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
1;-0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;-0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;-0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;-0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
8;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;1.3;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;3
11;1.5;8.4;8.4;8.4;8.4;8.4;8.4;8.4;8.4;14
12;1.5;10.2;10.2;10.2;10.2;10.2;10.2;10.2;10.2;17
13;2.1;11.4;11.4;11.4;11.4;11.4;11.4;11.4;11.4;19
14;3.6;8.4;8.4;8.4;8.4;8.4;8.4;8.4;8.4;14
15;4.7;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;8
16;6.9;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;3
17;8.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
18;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
19;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;10.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
22;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
23;10.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
24;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
25;10.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
26;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
27;10.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
28;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
29;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
30;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
31;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
32;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
33;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
34;9.3;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;8
35;8.8;8.4;8.4;8.4;8.4;8.4;8.4;8.4;8.4;14
36;8.6;10.2;10.2;10.2;10.2;10.2;10.2;10.2;10.2;17
37;8.6;19.3;19.3;19.3;21.36;23.21;22.76;20.29;19.3;33
38;8.7;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;11
39;9.7;8.4;8.4;8.4;8.4;8.4;8.4;8.4;8.4;14
40;9.5;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;6
41;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
42;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
43;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
44;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
45;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
46;7.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
47;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
48;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
49;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
50;8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
51;8.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
52;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
53;5.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
54;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
55;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
56;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
57;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
