Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
1;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;5.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
8;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;4.4;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2
11;4.4;11.4;11.4;11.4;11.4;11.4;11.4;11.4;11.4;19
12;4.1;24.1;24.1;24.1;26.74;27.84;26.74;24.1;24.1;41
13;3.9;35.1;35.1;35.1;41.33;46.9;45.56;38.09;35.1;61
14;3.8;30.2;30.2;30.2;33.36;39.71;40.49;35.24;30.2;52
15;3.8;22.3;22.3;22.3;23.08;30.43;33.02;29.32;22.3;38
16;3.7;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;8
17;3.7;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2
18;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
19;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;5.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
22;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
23;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
24;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
25;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
26;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
27;6.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
28;7.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
29;6.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
30;6.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
31;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
32;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
33;6.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
34;6.7;9.1;9.1;11.6;14.21;13.82;10.67;9.1;9.1;16
35;6.7;15.7;15.7;16.69;19.16;19.61;17.76;15.7;15.7;27
36;6.4;21.1;21.1;21.1;23.73;24.81;23.73;21.1;21.1;36
37;6.5;38.1;38.1;38.1;44.29;49.83;48.49;41.07;38.1;66
38;3.0;19.3;19.3;19.3;20.87;24.02;24.41;21.8;19.3;33
39;1.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;22
40;0.4;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;11
41;0.0;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2
42;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
43;-0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
44;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
45;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
46;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
47;-2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
48;-2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
49;-2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
50;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
51;-2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
52;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
53;-3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
54;-4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
55;-4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
56;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
57;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
58;-2.8;9.1;9.1;11.58;14.17;13.78;10.65;9.1;9.1;16
59;0.0;48.7;48.7;73.33;134.77;145.8;99.95;48.7;48.7;102
60;1.7;61.9;61.9;61.9;377.74;508.57;377.74;61.9;61.9;204
61;4.2;63.6;63.6;63.6;407.98;716.11;642.02;229.09;63.6;246
62;4.3;71.6;71.6;71.6;205.1;474.07;507.28;285.28;71.6;191
63;4.3;57.2;57.2;57.2;112.58;641.58;828.26;563.26;57.2;157
64;3.4;26.7;26.7;26.7;26.7;26.7;26.7;26.7;26.7;47
65;2.4;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;11
66;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
67;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
68;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
69;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
70;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
71;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
72;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
73;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
74;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
75;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
76;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
77;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
78;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
79;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
80;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
81;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
82;1.7;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;11
83;2.0;11.4;11.4;11.4;11.4;11.4;11.4;11.4;11.4;19
84;2.0;17.5;17.5;17.5;20.09;21.17;20.09;17.5;17.5;30
85;1.8;27.7;27.7;27.7;29.73;31.56;31.12;28.68;27.7;47
86;2.2;15.7;15.7;15.7;17.24;20.34;20.72;18.17;15.7;27
87;2.4;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;11
88;2.4;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;5
89;1.9;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2
90;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
91;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
92;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
93;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
94;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
95;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
96;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
97;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
98;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
99;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
100;5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
101;5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
102;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
103;5.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
104;5.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
105;5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
106;6.1;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;13
107;6.7;38.9;38.9;43.77;55.88;58.04;48.99;38.9;38.9;69
108;6.9;60.3;60.3;60.3;83.48;93.08;83.48;60.3;60.3;108
109;6.8;46.0;46.0;46.0;54.08;61.31;59.58;49.89;46.0;80
110;6.6;46.0;46.0;46.0;52.08;64.38;65.92;55.78;46.0;80
111;6.6;25.4;25.4;25.4;26.82;40.68;45.59;38.67;25.4;44
112;6.6;24.9;24.9;24.9;24.9;24.9;24.9;24.9;24.9;44
113;6.1;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;8
