Y,M,D,H,GG,GD
2003,1,1,1,0,0
2003,1,1,2,0,0
2003,1,1,3,0,0
2003,1,1,4,0,0
2003,1,1,5,0,0
2003,1,1,6,0,0
2003,1,1,7,0,0
2003,1,1,8,0,0
2003,1,1,9,0,0
2003,1,1,10,3,3
2003,1,1,11,14,14
2003,1,1,12,17,17
2003,1,1,13,19,19
2003,1,1,14,14,14
2003,1,1,15,8,8
2003,1,1,16,3,3
2003,1,1,17,0,0
2003,1,1,18,0,0
2003,1,1,19,0,0
2003,1,1,20,0,0
2003,1,1,21,0,0
2003,1,1,22,0,0
2003,1,1,23,0,0
2003,1,1,24,0,0
2003,1,2,1,0,0
2003,1,2,2,0,0
2003,1,2,3,0,0
2003,1,2,4,0,0
2003,1,2,5,0,0
2003,1,2,6,0,0
2003,1,2,7,0,0
2003,1,2,8,0,0
2003,1,2,9,0,0
2003,1,2,10,8,8
2003,1,2,11,14,14
2003,1,2,12,17,17
2003,1,2,13,33,32
2003,1,2,14,11,11
2003,1,2,15,14,14
2003,1,2,16,6,6
2003,1,2,17,0,0
2003,1,2,18,0,0
2003,1,2,19,0,0
2003,1,2,20,0,0
2003,1,2,21,0,0
2003,1,2,22,0,0
2003,1,2,23,0,0
2003,1,2,24,0,0
2003,1,3,1,0,0
2003,1,3,2,0,0
2003,1,3,3,0,0
2003,1,3,4,0,0
2003,1,3,5,0,0
2003,1,3,6,0,0
2003,1,3,7,0,0
2003,1,3,8,0,0
2003,1,3,9,0,0
2003,1,3,10,8,8
2003,1,3,11,33,32
2003,1,3,12,22,22
2003,1,3,13,42,41
2003,1,3,14,28,27
2003,1,3,15,36,35
2003,1,3,16,11,11
2003,1,3,17,0,0
2003,1,3,18,0,0
2003,1,3,19,0,0
2003,1,3,20,0,0
2003,1,3,21,0,0
2003,1,3,22,0,0
2003,1,3,23,0,0
2003,1,3,24,0,0
2003,1,4,1,0,0
2003,1,4,2,0,0
2003,1,4,3,0,0
2003,1,4,4,0,0
2003,1,4,5,0,0
2003,1,4,6,0,0
2003,1,4,7,0,0
2003,1,4,8,0,0
2003,1,4,9,0,0
2003,1,4,10,28,26
2003,1,4,11,53,50
2003,1,4,12,56,54
2003,1,4,13,108,100
2003,1,4,14,89,83
2003,1,4,15,81,75
2003,1,4,16,42,39
2003,1,4,17,3,3
2003,1,4,18,0,0
2003,1,4,19,0,0
2003,1,4,20,0,0
2003,1,4,21,0,0
2003,1,4,22,0,0
2003,1,4,23,0,0
2003,1,4,24,0,0
2003,1,5,1,0,0
2003,1,5,2,0,0
2003,1,5,3,0,0
2003,1,5,4,0,0
2003,1,5,5,0,0
2003,1,5,6,0,0
2003,1,5,7,0,0
2003,1,5,8,0,0
2003,1,5,9,0,0
2003,1,5,10,6,6
2003,1,5,11,8,8
2003,1,5,12,61,58
2003,1,5,13,117,108
2003,1,5,14,97,90
2003,1,5,15,114,94
2003,1,5,16,33,31
2003,1,5,17,3,3
2003,1,5,18,0,0
2003,1,5,19,0,0
2003,1,5,20,0,0
2003,1,5,21,0,0
2003,1,5,22,0,0
2003,1,5,23,0,0
2003,1,5,24,0,0
2003,1,6,1,0,0
2003,1,6,2,0,0
2003,1,6,3,0,0
2003,1,6,4,0,0
2003,1,6,5,0,0
2003,1,6,6,0,0
2003,1,6,7,0,0
2003,1,6,8,0,0
2003,1,6,9,0,0
2003,1,6,10,28,26
2003,1,6,11,119,76
2003,1,6,12,172,104
2003,1,6,13,172,122
2003,1,6,14,192,109
2003,1,6,15,133,95
2003,1,6,16,50,46
2003,1,6,17,8,7
2003,1,6,18,0,0
2003,1,6,19,0,0
2003,1,6,20,0,0
2003,1,6,21,0,0
2003,1,6,22,0,0
2003,1,6,23,0,0
2003,1,6,24,0,0
2003,1,7,1,0,0
2003,1,7,2,0,0
2003,1,7,3,0,0
2003,1,7,4,0,0
2003,1,7,5,0,0
2003,1,7,6,0,0
2003,1,7,7,0,0
2003,1,7,8,0,0
2003,1,7,9,0,0
2003,1,7,10,56,31
2003,1,7,11,50,47
2003,1,7,12,103,95
2003,1,7,13,219,106
2003,1,7,14,258,63
2003,1,7,15,211,50
2003,1,7,16,122,35
2003,1,7,17,22,19
2003,1,7,18,0,0
2003,1,7,19,0,0
2003,1,7,20,0,0
