Y,M,D,H,GG,GD
2003,1,1,1,0,0
2003,1,1,2,0,0
2003,1,1,3,0,0
2003,1,1,4,0,0
2003,1,1,5,0,0
2003,1,1,6,0,0
2003,1,1,7,0,0
2003,1,1,8,0,0
2003,1,1,9,0,0
2003,1,1,10,2,2
2003,1,1,11,19,19
2003,1,1,12,41,40
2003,1,1,13,61,58
2003,1,1,14,52,50
2003,1,1,15,38,37
2003,1,1,16,8,8
2003,1,1,17,2,2
2003,1,1,18,0,0
2003,1,1,19,0,0
2003,1,1,20,0,0
2003,1,1,21,0,0
2003,1,1,22,0,0
2003,1,1,23,0,0
2003,1,1,24,0,0
2003,1,2,1,0,0
2003,1,2,2,0,0
2003,1,2,3,0,0
2003,1,2,4,0,0
2003,1,2,5,0,0
2003,1,2,6,0,0
2003,1,2,7,0,0
2003,1,2,8,0,0
2003,1,2,9,0,0
2003,1,2,10,16,15
2003,1,2,11,27,26
2003,1,2,12,36,35
2003,1,2,13,66,63
2003,1,2,14,33,32
2003,1,2,15,22,22
2003,1,2,16,11,11
2003,1,2,17,2,2
2003,1,2,18,0,0
2003,1,2,19,0,0
2003,1,2,20,0,0
2003,1,2,21,0,0
2003,1,2,22,0,0
2003,1,2,23,0,0
2003,1,2,24,0,0
2003,1,3,1,0,0
2003,1,3,2,0,0
2003,1,3,3,0,0
2003,1,3,4,0,0
2003,1,3,5,0,0
2003,1,3,6,0,0
2003,1,3,7,0,0
2003,1,3,8,0,0
2003,1,3,9,0,0
2003,1,3,10,16,15
2003,1,3,11,102,77
2003,1,3,12,204,83
2003,1,3,13,246,78
2003,1,3,14,191,105
2003,1,3,15,157,83
2003,1,3,16,47,44
2003,1,3,17,11,11
2003,1,3,18,0,0
2003,1,3,19,0,0
2003,1,3,20,0,0
2003,1,3,21,0,0
2003,1,3,22,0,0
2003,1,3,23,0,0
2003,1,3,24,0,0
2003,1,4,1,0,0
2003,1,4,2,0,0
2003,1,4,3,0,0
2003,1,4,4,0,0
2003,1,4,5,0,0
2003,1,4,6,0,0
2003,1,4,7,0,0
2003,1,4,8,0,0
2003,1,4,9,0,0
2003,1,4,10,11,11
2003,1,4,11,19,19
2003,1,4,12,30,29
2003,1,4,13,47,46
2003,1,4,14,27,26
2003,1,4,15,11,11
2003,1,4,16,5,5
2003,1,4,17,2,2
2003,1,4,18,0,0
2003,1,4,19,0,0
2003,1,4,20,0,0
2003,1,4,21,0,0
2003,1,4,22,0,0
2003,1,4,23,0,0
2003,1,4,24,0,0
2003,1,5,1,0,0
2003,1,5,2,0,0
2003,1,5,3,0,0
2003,1,5,4,0,0
2003,1,5,5,0,0
2003,1,5,6,0,0
2003,1,5,7,0,0
2003,1,5,8,0,0
2003,1,5,9,0,0
2003,1,5,10,13,13
2003,1,5,11,69,64
2003,1,5,12,108,99
2003,1,5,13,80,76
2003,1,5,14,80,76
2003,1,5,15,44,42
2003,1,5,16,44,41
2003,1,5,17,8,8
2003,1,5,18,0,0
2003,1,5,19,0,0
2003,1,5,20,0,0
2003,1,5,21,0,0
2003,1,5,22,0,0
2003,1,5,23,0,0
2003,1,5,24,0,0
2003,1,6,1,0,0
2003,1,6,2,0,0
2003,1,6,3,0,0
2003,1,6,4,0,0
2003,1,6,5,0,0
2003,1,6,6,0,0
2003,1,6,7,0,0
2003,1,6,8,0,0
2003,1,6,9,0,0
2003,1,6,10,5,5
2003,1,6,11,47,45
2003,1,6,12,72,68
2003,1,6,13,75,71
2003,1,6,14,149,118
2003,1,6,15,104,93
2003,1,6,16,25,24
2003,1,6,17,5,5
2003,1,6,18,0,0
2003,1,6,19,0,0
2003,1,6,20,0,0
2003,1,6,21,0,0
2003,1,6,22,0,0
2003,1,6,23,0,0
2003,1,6,24,0,0
2003,1,7,1,0,0
2003,1,7,2,0,0
2003,1,7,3,0,0
2003,1,7,4,0,0
2003,1,7,5,0,0
2003,1,7,6,0,0
2003,1,7,7,0,0
2003,1,7,8,0,0
2003,1,7,9,0,0
2003,1,7,10,8,8
2003,1,7,11,82,75
2003,1,7,12,133,110
2003,1,7,13,50,48
2003,1,7,14,97,91
2003,1,7,15,80,75
2003,1,7,16,33,31
2003,1,7,17,8,6
2003,1,7,18,0,0
2003,1,7,19,0,0
2003,1,7,20,0,0
