Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
1;1.5;0;0;0;0;0;0;0;0;0
2;1.5;0;0;0;0;0;0;0;0;0
3;1.7;0;0;0;0;0;0;0;0;0
4;1.5;0;0;0;0;0;0;0;0;0
5;1.2;0;0;0;0;0;0;0;0;0
6;1.1;0;0;0;0;0;0;0;0;0
7;1.1;0;0;0;0;0;0;0;0;0
8;1.3;0;0;0;0;0;0;0;0;0
9;1.5;0;0;0;0;0;0;0;0;0
10;1.8;0;0;0;0;0;0;0;0;0
11;2.2;2.781972659;2.781972659;2.833077719;2.865849263;2.84948703;2.793575793;2.781972659;2.781972659;6
12;2.6;8.926365626;8.926365626;9.103272107;9.332762486;9.324191097;9.082578942;8.926365626;8.926365626;19
13;3.4;18.59888709;18.59888709;18.85303012;19.78826566;20.02677937;19.42885314;18.59888709;18.59888709;39
14;4;17.10428772;17.10428772;17.10428772;17.9882483;18.45220168;18.12656533;17.20209263;17.10428772;36
15;4.4;8.905543434;8.905543434;8.905543434;9.173462332;9.470684498;9.436854693;9.091789959;8.905543434;19
16;4.4;3.709946074;3.709946074;3.709946074;3.785193929;3.988699722;4.028915408;3.882283184;3.709946074;8
17;4.5;1.388388021;1.388388021;1.388388021;1.388388021;1.388388021;1.388388021;1.388388021;1.388388021;3
18;4.6;0;0;0;0;0;0;0;0;0
19;4.8;0;0;0;0;0;0;0;0;0
20;5;0;0;0;0;0;0;0;0;0
21;5.2;0;0;0;0;0;0;0;0;0
22;5.8;0;0;0;0;0;0;0;0;0
23;6.1;0;0;0;0;0;0;0;0;0
24;6.1;0;0;0;0;0;0;0;0;0
25;6.2;0;0;0;0;0;0;0;0;0
26;6.1;0;0;0;0;0;0;0;0;0
27;6.1;0;0;0;0;0;0;0;0;0
28;5.8;0;0;0;0;0;0;0;0;0
29;6.6;0;0;0;0;0;0;0;0;0
30;6.8;0;0;0;0;0;0;0;0;0
31;7.4;0;0;0;0;0;0;0;0;0
32;7.2;0;0;0;0;0;0;0;0;0
33;6.7;0;0;0;0;0;0;0;0;0
34;7.5;5.153707112;5.822886757;11.56777009;13.55538232;10.62140716;5.153707112;5.153707112;5.153707112;11
35;8.7;40.5534133;40.5534133;206.8707443;312.7932904;259.2414088;77.58506529;40.5534133;40.5534133;108
36;9.9;53.33585326;53.33585326;153.6956358;282.9473752;277.6957991;141.0172096;53.33585326;53.33585326;139
37;9.9;55.63101513;55.63101513;79.93911303;168.2564874;190.5993876;133.8796457;55.63101513;55.63101513;133
38;10.6;51.26987408;51.26987408;51.26987408;116.9569357;151.235631;126.9557417;58.34009759;51.26987408;117
39;10.6;45.94111425;45.94111425;45.94111425;117.7680685;197.0671162;187.8386016;95.48846339;45.94111425;108
40;10.3;7.968187936;7.968187936;7.968187936;8.29763148;9.183173703;9.356993743;8.717270176;7.968187936;17
41;10.2;0.555860065;0.555860065;0.555860065;0.639190547;5.604445362;7.612307381;5.486598265;0.555860065;3
42;9.8;0;0;0;0;0;0;0;0;0
43;9.8;0;0;0;0;0;0;0;0;0
44;9.5;0;0;0;0;0;0;0;0;0
45;9.6;0;0;0;0;0;0;0;0;0
46;9.8;0;0;0;0;0;0;0;0;0
47;10;0;0;0;0;0;0;0;0;0
48;10.2;0;0;0;0;0;0;0;0;0
49;9.8;0;0;0;0;0;0;0;0;0
50;9.4;0;0;0;0;0;0;0;0;0
51;8.8;0;0;0;0;0;0;0;0;0
52;7.9;0;0;0;0;0;0;0;0;0
53;7.8;0;0;0;0;0;0;0;0;0
54;7.7;0;0;0;0;0;0;0;0;0
55;7.6;0;0;0;0;0;0;0;0;0
56;7.4;0;0;0;0;0;0;0;0;0
57;7.1;0;0;0;0;0;0;0;0;0
58;6.9;8.420905765;15.1234242;70.94630409;90.14265364;61.46751162;8.420905765;8.420905765;8.420905765;22
59;7.1;34.16111448;34.16111448;135.8630176;200.1829069;167.2494818;56.35469616;34.16111448;34.16111448;83
60;7.6;55.17532155;55.17532155;248.746248;496.2327013;485.3537234;222.4820718;55.17532155;55.17532155;183
