Hour,T
1,-0.9
2,-0.8
3,-0.7
4,-0.3
5,-0.1
6,0.0
7,0.2
8,0.5
9,1.0
10,1.3
11,1.5
12,1.5
13,2.1
14,3.6
15,4.7
16,6.9
17,8.7
18,9.5
19,9.9
20,10.2
21,10.6
22,10.8
23,10.3
24,10.5
25,10.2
26,10.0
27,10.3
28,9.9
29,9.8
30,9.4
31,9.5
32,9.4
33,9.0
34,9.3
35,8.8
36,8.6
37,8.6
38,8.7
39,9.7
40,9.5
41,9.8
42,9.9
43,9.9
44,9.9
45,9.0
46,7.8
47,7.3
48,7.7
49,7.9
50,8.3
51,8.1
52,7.7
53,5.7
54,4.8
55,5.4
56,4.9
57,4.6
58,4.3
59,4.4
60,4.3
61,4.3
62,4.2
63,4.2
64,3.9
65,3.6
66,3.1
67,3.0
68,3.0
69,2.4
70,2.3
71,1.8
72,1.4
73,1.0
74,0.9
75,0.4
76,-0.3
77,-0.5
78,-0.8
79,-1.4
80,-1.6
81,-1.9
82,-1.6
83,-1.2
84,-1.0
85,-0.9
86,-0.8
87,-0.8
88,-1.2
89,-1.4
90,-1.3
91,-1.4
92,-2.0
93,-2.8
94,-3.6
95,-0.4
96,-4.5
97,-5.7
98,-7.0
99,-7.2
100,-7.0
101,-6.8
102,-4.9
103,-3.7
104,-3.2
105,-2.8
106,-2.5
107,-2.4
108,-1.8
109,-1.1
110,-0.4
111,0.0
112,-0.2
113,-0.8
114,-1.1
115,-0.8
116,-1.2
117,-1.8
118,-1.3
119,-1.6
120,-1.1
121,-1.6
122,-0.2
123,0.6
124,-0.3
125,-1.7
126,-0.9
127,-0.8
128,-0.9
129,-0.7
130,-0.6
131,-0.2
132,0.3
133,0.2
134,-0.1
135,-0.3
136,-0.6
137,-0.7
138,-1.0
139,-1.2
140,-1.3
141,-1.5
142,-1.5
143,-1.8
144,-2.1
145,-2.4
146,-3.7
147,-4.6
148,-5.3
149,-5.8
150,-6.3
151,-6.8
152,-7.6
153,-8.2
154,-7.8
155,-7.5
156,-6.4
157,-5.5
158,-4.8
159,-5.1
160,-5.1
161,-4.8
162,-4.8
163,-4.7
164,-4.6
165,-4.4
166,-4.3
167,-4.2
168,-3.9
169,-4.5
170,-4.6
171,-4.6
