Hour,T
1,6.1
2,6.1
3,5.5
4,5.1
5,4.5
6,4.3
7,4.2
8,3.9
9,3.9
10,4.4
11,4.4
12,4.1
13,3.9
14,3.8
15,3.8
16,3.7
17,3.7
18,4.1
19,4.6
20,4.9
21,5.1
22,6.3
23,8
24,8
25,7.3
26,6.9
27,6.8
28,7.1
29,6.7
30,6.6
31,7
32,7
33,6.8
34,6.7
35,6.7
36,6.4
37,6.5
38,3
39,1.7
40,0.4
41,0
42,-0.3
43,-0.8
44,-1
45,-1.5
46,-2
47,-2.3
48,-2.7
49,-2.9
50,-3
51,-2.9
52,-3
53,-3.4
54,-4.3
55,-4.5
56,-5
57,-5
58,-2.8
59,0
60,1.7
61,4.2
62,4.3
63,4.3
64,3.4
65,2.4
66,1.2
67,1
68,1.7
69,1.8
70,0.6
71,1.5
72,1.3
73,1.6
74,1.4
75,2
76,1.4
77,1.6
78,1.4
79,2
80,2.2
81,1.8
82,1.7
83,2
84,2
85,1.8
86,2.2
87,2.4
88,2.4
89,1.9
90,1.9
91,2
92,2.1
93,2.8
94,3.5
95,4.4
96,4.6
97,5.4
98,6.1
99,6.4
100,5.9
101,5.9
102,5.5
103,5.1
104,5.8
105,5.9
106,6.1
107,6.7
108,6.9
109,6.8
110,6.6
111,6.6
112,6.6
113,6.1
114,6.4
115,6.3
116,6.2
117,6.2
118,6.5
119,5.8
120,5.5
121,5.8
122,5.6
123,5
124,5.4
125,3.9
126,4.3
127,3.9
128,3.6
129,2.8
130,3.1
131,3.3
132,3.4
133,3.6
134,4.8
135,4.5
136,2.3
137,1.6
138,1.1
139,0
140,-0.4
141,-0.7
142,-0.6
143,-1.1
144,-1.1
145,-1
146,-1.1
147,-1.8
148,-1.7
149,-2
150,-1.9
151,-1.9
152,-2
153,-1.9
154,-1.5
155,-0.6
156,-0.6
157,-1.6
158,-1.4
159,-1.4
160,-1.7
161,-1.8
162,-2
163,-2
164,-2
165,-2
166,-2.1
167,-2.9
168,-3.7
169,-4.3
170,-6.2
171,-6.3
172,-7
173,-7.4
174,-6.6
175,-6.5
176,-5.6
177,-5.2
178,-4.9
179,-3.4
180,-2.5
181,-1.5
182,-0.6
183,-0.3
184,-0.3
185,-0.1
186,0.1
187,0.4
188,0.7
189,0.7
190,0.7
191,0.5
192,0.1
193,0
194,0
195,0
196,-0.3
197,-0.9
198,-0.6
199,-0.9
200,-0.8
201,-0.8
202,-0.7
203,-0.5
204,-0.4
205,-0.2
206,-0.4
207,-0.5
208,-0.7
209,-0.6
210,-0.9
211,-1
212,-0.9
213,-1.1
214,-1.2
215,-1.2
216,-1.9
217,-3.4
218,-4.3
219,-5.2
220,-5.8
221,-6.7
222,-7.1
223,-7.5
224,-8.4
225,-8.3
226,-7.9
227,-7.5
228,-7.6
229,-7.9
230,-7.1
231,-7
232,-7.1
233,-7.6
234,-7.9
235,-7.7
236,-8.2
237,-8.6
238,-8.5
239,-8.6
240,-8.8
241,-9
242,-9.3
243,-9.8
244,-10.2
245,-10.6
246,-11
247,-11.3
248,-11.7
249,-11.9
250,-11.2
251,-11.1
252,-10.7
253,-10.2
254,-10.2
255,-10.1
256,-10.5
257,-11.3
258,-11.5
259,-12
260,-12.5
261,-12.9
262,-12.9
263,-12.8
264,-13
265,-13
266,-13.2
267,-14.2
268,-14
269,-13.5
270,-13.8
271,-13.2
272,-12.7
273,-12.1
274,-11.1
275,-10
276,-9.4
277,-8.6
278,-8.2
279,-8
280,-8.3
281,-8.6
282,-9
283,-9.6
284,-10.1
285,-10.2
286,-10
287,-10.1
288,-10.3
289,-9
290,-9.1
291,-9.2
292,-8.6
293,-8.5
294,-8.4
295,-8.6
296,-8.5
297,-8.4
298,-8
299,-7.9
300,-7.6
301,-7.2
302,-7.4
303,-7.1
304,-7.2
305,-8.3
306,-8.9
307,-9.4
308,-9.8
309,-10.7
310,-12.5
311,-13.4
312,-14.1
313,-14.5
314,-14.8
315,-15
316,-15
317,-15.1
318,-15.1
319,-15
320,-15.1
321,-15.1
322,-15.1
323,-14
324,-13.3
325,-11.8
326,-10.9
327,-11.4
328,-11.6
329,-12
330,-12.2
331,-12.5
332,-12.4
333,-12
334,-11.9
335,-12
336,-11.6
337,-11.4
338,-11.2
339,-11.4
340,-11.7
341,-11.7
342,-12
343,-11.9
344,-11.5
345,-11.3
346,-10.8
347,-9.8
348,-9.2
349,-8.3
350,-7.7
351,-7.6
352,-7.5
353,-7.2
354,-7
355,-7
356,-7.3
357,-7.5
358,-7.9
359,-8.1
360,-8.3
361,-8.3
362,-8.1
363,-8
364,-8
365,-7.5
366,-7.2
367,-7.3
368,-7.3
369,-7.5
