Hour,Demand_Zone 1,UFH_Energy_Zone 2,Demand_Zone 2,Demand_Zone 3,Demand_Zone 4,Demand_Zone 5
1,13.6,0.0,0.0,12.6,10.1,6.9
2,13.7,0.0,0.0,12.7,10.1,6.9
3,14.1,0.0,0.0,13.0,10.5,7.2
4,14.3,0.0,0.0,13.2,10.7,7.4
5,14.7,0.0,0.0,13.6,11.1,7.6
6,14.9,0.0,0.0,13.8,11.2,7.7
7,15.0,0.0,0.0,13.9,11.3,7.8
8,15.2,0.0,0.0,14.1,11.5,7.9
9,15.1,0.0,0.0,14.1,0.2,1.2
10,15.0,0.0,0.0,13.9,0.0,1.1
11,15.0,0.0,0.0,13.9,0.0,1.0
12,15.0,0.0,0.0,14.0,0.0,1.0
13,15.1,0.0,0.0,5.8,5.6,4.3
14,15.2,0.0,0.0,6.0,0.1,1.2
15,15.3,0.0,0.0,6.1,0.2,1.3
16,15.6,0.0,0.0,6.3,0.6,1.5
17,15.7,0.0,0.0,6.5,0.7,1.6
18,15.6,0.0,0.0,6.4,11.7,8.0
19,15.4,0.0,0.0,6.2,11.5,7.8
20,15.3,0.0,0.0,0.0,11.3,7.7
21,15.3,0.0,0.0,0.0,11.3,7.7
22,14.7,0.0,0.0,0.0,10.7,7.2
23,13.9,0.0,0.0,0.0,9.8,6.6
24,13.8,0.0,0.0,12.7,9.8,6.6
25,15.5,0.0,0.0,14.1,10.7,7.2
26,15.6,0.0,0.0,14.2,10.9,7.3
27,15.5,0.0,0.0,14.2,10.9,7.3
28,15.3,0.0,0.0,14.0,10.7,7.2
29,15.4,0.0,0.0,14.2,10.9,7.4
30,15.4,0.0,0.0,14.2,11.0,7.4
31,15.1,0.0,0.0,13.9,10.7,7.3
32,15.1,0.0,0.0,13.9,10.7,7.3
33,14.9,0.0,0.0,13.8,0.0,0.9
34,14.8,0.0,0.0,13.8,0.0,0.8
35,14.7,0.0,0.0,13.7,0.0,0.8
36,14.7,0.0,0.0,13.7,0.0,0.8
37,14.4,0.0,0.0,5.5,4.8,3.8
38,16.2,0.0,0.0,7.3,1.3,2.1
39,17.0,0.0,0.0,8.0,2.1,2.7
40,17.8,0.0,0.0,8.8,2.9,3.3
41,18.2,0.0,0.0,9.2,3.2,3.6
42,18.5,0.0,0.0,9.6,14.5,10.1
43,18.9,0.0,0.0,10.0,14.8,10.3
44,19.2,0.0,4.1,0.0,14.9,10.4
45,19.6,0.0,9.3,0.0,15.2,10.6
46,19.8,0.0,10.2,0.0,15.5,10.8
47,20.0,0.0,10.7,0.0,15.7,11.0
48,20.2,0.0,11.4,18.9,15.9,11.2
49,20.5,0.0,7.1,19.2,16.1,11.4
50,20.5,0.0,7.2,19.3,16.2,11.4
51,20.5,0.0,7.1,19.2,16.1,11.4
52,20.5,0.0,7.2,19.3,16.2,11.5
53,20.7,0.0,7.7,19.5,16.4,11.6
54,21.2,0.0,8.7,20.0,16.9,12.0
55,21.3,0.0,9.0,20.1,17.0,12.1
56,21.5,0.0,9.6,20.3,17.3,12.3
57,21.3,0.0,13.6,20.2,6.4,6.0
58,20.2,0.0,9.7,19.1,5.2,5.1
59,18.3,0.0,0.8,17.2,2.9,3.5
60,17.0,0.0,0.0,15.4,0.6,2.2
61,15.4,0.0,0.0,6.1,4.0,4.1
62,15.1,0.0,0.0,6.3,0.0,1.2
63,15.1,0.0,0.0,6.4,0.0,1.4
64,9.4,0.0,0.0,6.9,1.1,2.2
65,10.3,0.0,0.0,7.7,1.9,2.8
66,11.2,0.0,0.0,8.5,13.8,9.8
67,11.7,0.0,0.0,8.8,14.0,9.9
68,3.1,0.0,0.0,0.0,13.7,9.6
69,3.4,0.0,0.0,0.0,13.6,9.6
70,4.3,0.0,0.0,0.0,14.3,10.1
71,4.3,0.0,0.0,0.0,13.9,9.7
72,12.8,0.0,6.2,17.1,14.0,9.8
73,18.3,0.0,1.0,17.1,13.9,9.7
74,18.4,0.0,2.3,17.2,14.0,9.8
75,18.1,0.0,1.6,16.9,13.7,9.5
76,18.4,0.0,2.3,17.2,14.0,9.8
77,18.3,0.0,2.1,17.1,13.9,9.7
78,18.4,0.0,2.3,17.2,14.0,9.8
79,18.1,0.0,1.6,16.9,13.7,9.6
80,18.0,0.0,1.4,16.8,13.6,9.5
81,18.0,0.0,3.3,16.9,2.9,3.3
82,18.0,0.0,3.0,16.9,2.9,3.3
83,17.8,0.0,2.3,16.7,2.7,3.2
84,17.7,0.0,1.9,16.7,2.6,3.1
85,17.7,0.0,1.6,9.0,8.0,6.2
86,17.6,0.0,1.7,8.9,2.5,3.0
87,17.6,0.0,2.0,8.9,2.5,3.0
88,17.7,0.0,2.2,8.9,2.6,3.1
89,17.9,0.0,3.0,9.2,2.8,3.3
90,17.9,0.0,3.1,9.2,13.7,9.6
91,17.9,0.0,3.7,9.1,13.7,9.5
92,17.9,0.0,3.5,0.0,13.6,9.5
93,17.5,0.0,2.3,0.0,13.3,9.2
94,17.2,0.0,1.1,0.0,12.9,8.9
95,16.7,0.0,0.0,0.0,12.4,8.6
96,16.6,0.0,0.0,15.5,12.3,8.5
97,15.4,0.0,0.0,14.4,11.5,8.0
98,15.0,0.0,0.0,14.0,11.1,7.7
99,14.9,0.0,0.0,13.9,11.0,7.6
100,15.1,0.0,0.0,14.1,11.2,7.8
101,15.1,0.0,0.0,14.1,11.2,7.8
102,15.3,0.0,0.0,14.3,11.4,8.0
103,15.5,0.0,0.0,14.5,11.6,8.1
104,15.2,0.0,0.0,14.2,11.3,7.8
105,15.0,0.0,0.0,14.1,0.1,1.3
106,14.8,0.0,0.0,13.9,0.0,1.1
107,14.2,0.0,0.0,13.3,0.0,0.6
108,13.8,0.0,0.0,13.0,0.0,0.2
109,13.8,0.0,0.0,5.0,4.5,3.7
110,13.9,0.0,0.0,5.0,0.0,0.5
111,14.0,0.0,0.0,5.1,0.0,0.6
112,7.5,0.0,0.0,5.0,0.0,0.6
113,7.9,0.0,0.0,5.4,0.0,1.0
114,7.8,0.0,0.0,5.3,10.8,7.5
115,7.9,0.0,0.0,5.4,10.9,7.6
116,0.0,0.0,0.0,0.0,10.9,7.6
117,0.0,0.0,0.0,0.0,10.9,7.6
118,0.0,0.0,0.0,0.0,10.8,7.5
119,0.0,0.0,0.0,0.0,11.1,7.7
120,8.5,0.0,0.0,14.0,11.3,7.8
121,16.2,0.0,0.0,14.9,11.6,7.9
122,16.2,0.0,0.0,15.0,11.7,7.9
123,16.5,0.0,0.0,15.2,12.0,8.2
124,16.3,0.0,0.0,15.0,11.7,8.0
125,16.9,0.0,0.0,15.7,12.5,8.6
126,16.7,0.0,0.0,15.5,12.3,8.5
127,16.9,0.0,0.0,15.7,12.5,8.6
128,17.1,0.0,0.0,15.8,12.6,8.7
129,17.3,0.0,0.0,16.1,13.0,9.0
130,17.1,0.0,0.0,16.0,12.9,8.9
131,16.8,0.0,0.0,15.7,12.4,8.6
132,16.6,0.0,0.0,15.6,12.2,8.4
133,16.5,0.0,0.0,7.7,12.0,8.3
134,15.4,0.0,0.0,6.7,10.6,7.4
135,15.7,0.0,0.0,6.9,11.2,7.8
136,11.3,0.0,0.0,8.2,13.0,9.1
137,11.9,0.0,0.0,8.8,13.6,9.5
138,12.5,0.0,0.0,9.2,13.9,9.7
139,13.3,0.0,5.6,9.9,14.5,10.1
140,5.6,0.0,7.5,0.0,14.7,10.3
141,5.7,0.0,8.1,0.0,14.9,10.4
142,5.7,0.0,7.9,0.0,14.8,10.4
143,5.9,0.0,8.8,0.0,15.1,10.6
144,14.0,0.0,11.4,18.2,15.1,10.6
145,19.6,0.0,5.1,18.4,15.3,10.8
146,19.6,0.0,5.2,18.4,15.3,10.8
147,19.9,0.0,6.0,18.8,15.7,11.1
148,19.9,0.0,5.9,18.8,15.6,11.1
149,20.0,0.0,6.3,18.9,15.8,11.2
150,20.0,0.0,6.2,18.9,15.7,11.2
151,20.0,0.0,6.2,18.9,15.8,11.2
152,20.1,0.0,6.3,18.9,15.8,11.2
153,19.8,0.0,9.0,18.8,15.7,11.2
154,19.6,0.0,8.2,18.6,15.5,11.0
155,18.7,0.0,3.8,17.7,14.4,10.2
156,18.4,0.0,1.1,17.4,13.9,9.9
157,19.4,0.0,6.8,10.8,15.2,10.8
158,19.0,0.0,4.5,10.4,14.7,10.5
159,19.1,0.0,4.9,10.5,14.8,10.6
160,14.1,0.0,12.0,10.9,15.4,10.9
161,14.3,0.0,13.0,11.1,15.6,11.1
162,14.5,0.0,13.7,11.2,15.8,11.2
163,14.5,0.0,13.7,11.2,15.8,11.2
164,6.4,0.0,10.7,0.0,15.8,11.2
165,6.4,0.0,10.7,0.0,15.8,11.2
166,6.4,0.0,10.9,0.0,15.9,11.3
167,6.8,0.0,12.2,0.1,16.3,11.6
168,15.3,0.0,17.2,19.7,16.7,11.9
169,21.2,0.0,9.1,20.1,17.1,12.2
170,22.1,0.0,11.2,21.0,18.1,13.0
171,22.2,0.0,11.4,21.1,18.1,13.1
172,22.5,0.0,12.2,21.4,18.5,13.3
173,22.7,0.0,12.7,21.6,18.7,13.5
174,22.3,0.0,11.8,21.3,18.3,13.2
175,22.3,0.0,11.7,21.2,18.3,13.2
176,21.8,0.0,10.7,20.8,17.8,12.8
177,21.5,0.0,14.3,20.5,6.7,6.4
178,21.2,0.0,13.4,20.3,6.5,6.2
179,20.2,0.0,9.2,19.3,5.3,5.4
180,19.6,0.0,6.8,18.8,4.6,4.9
181,19.1,0.0,5.3,10.7,9.6,7.6
182,18.8,0.0,4.5,10.3,3.8,4.2
183,18.8,0.0,5.4,10.3,3.9,4.3
184,19.0,0.0,6.3,10.4,4.1,4.4
185,18.9,0.0,6.4,10.4,4.1,4.4
186,18.9,0.0,6.3,10.3,14.9,10.6
187,18.7,0.0,6.8,10.1,14.7,10.5
188,18.6,0.0,6.3,0.0,14.6,10.3
189,18.6,0.0,6.3,0.0,14.6,10.3
190,18.6,0.0,6.3,0.0,14.6,10.3
191,18.7,0.0,6.6,0.0,14.7,10.4
192,18.9,0.0,7.3,17.9,14.9,10.6
193,19.1,0.0,4.2,18.0,14.9,10.6
194,19.1,0.0,4.2,18.0,14.9,10.6
195,19.1,0.0,4.2,18.0,14.9,10.6
196,19.2,0.0,4.5,18.2,15.0,10.7
197,19.5,0.0,5.2,18.5,15.4,10.9
198,19.4,0.0,4.9,18.3,15.2,10.8
199,19.5,0.0,5.2,18.5,15.4,10.9
200,19.5,0.0,5.1,18.4,15.3,10.9
201,19.3,0.0,7.5,18.3,4.4,4.6
202,19.2,0.0,7.0,18.2,4.3,4.5
203,18.9,0.0,5.5,18.0,3.9,4.2
204,18.7,0.0,4.7,17.8,3.7,4.1
205,18.3,0.0,1.8,9.8,8.5,6.8
206,18.5,0.0,3.0,10.0,3.4,3.9
207,18.7,0.0,4.2,10.2,3.7,4.1
208,18.9,0.0,5.6,10.4,3.9,4.2
209,19.1,0.0,6.9,10.5,4.2,4.4
210,19.3,0.0,7.6,10.7,15.3,10.9
211,19.4,0.0,9.1,10.7,15.4,10.9
212,19.3,0.0,8.9,0.0,15.3,10.9
213,19.4,0.0,9.3,0.0,15.4,11.0
214,19.5,0.0,9.4,0.0,15.5,11.0
215,19.5,0.0,9.4,0.0,15.5,11.0
216,19.8,0.0,10.6,18.8,15.8,11.3
217,20.8,0.0,8.3,19.8,16.8,12.1
218,21.2,0.0,9.4,20.3,17.2,12.5
219,21.7,0.0,10.4,20.7,17.7,12.8
220,21.9,0.0,11.1,21.0,18.0,13.0
221,22.4,0.0,12.1,21.4,18.5,13.4
222,22.6,0.0,12.6,21.6,18.7,13.6
223,22.8,0.0,13.0,21.8,18.9,13.7
224,23.2,0.0,14.1,22.3,19.4,14.1
225,23.0,0.0,19.2,22.1,8.4,7.8
226,22.7,0.0,17.9,21.8,8.1,7.5
227,22.1,0.0,14.2,21.3,7.3,7.0
228,21.9,0.0,13.6,21.2,7.1,6.9
229,22.0,0.0,13.3,13.7,12.6,10.0
230,21.2,0.0,0.0,12.5,4.6,6.0
231,21.6,0.0,8.4,13.3,6.7,6.7
232,16.5,0.0,22.5,13.6,7.3,6.9
233,17.1,0.0,25.3,14.1,8.0,7.4
234,17.4,0.0,26.5,14.3,19.1,13.9
235,17.3,0.0,26.1,14.2,19.0,13.8
236,9.4,0.0,21.8,3.0,19.3,14.0
237,9.6,0.0,22.5,3.2,19.5,14.2
238,9.6,0.0,22.3,3.1,19.4,14.2
239,9.6,0.0,22.5,3.2,19.5,14.2
240,17.8,0.0,28.4,22.4,19.6,14.3
241,23.5,0.0,15.1,22.7,19.9,14.6
242,23.7,0.0,15.5,22.9,20.0,14.7
243,23.9,0.0,16.0,23.1,20.3,14.9
244,24.1,0.0,16.5,23.3,20.5,15.1
245,24.3,0.0,17.0,23.5,20.7,15.2
246,24.5,0.0,17.4,23.7,20.9,15.4
247,24.7,0.0,17.8,23.9,21.1,15.5
248,24.9,0.0,18.2,24.1,21.3,15.7
249,24.8,0.0,25.1,24.1,10.5,9.5
250,24.2,0.0,22.5,23.5,9.9,9.0
251,23.7,0.0,14.9,22.6,8.6,8.3
252,23.1,0.0,6.8,21.7,7.2,7.6
253,22.6,0.0,0.7,13.7,11.7,10.4
254,22.7,0.0,0.0,14.0,6.0,7.4
255,22.8,0.0,0.0,14.7,6.1,7.8
256,23.4,0.0,15.8,15.2,9.1,8.4
257,24.3,0.0,23.6,16.0,10.1,9.1
258,24.6,0.0,24.5,16.2,21.2,15.6
259,24.8,0.0,28.6,16.5,21.4,15.8
260,25.1,0.0,29.5,5.2,21.7,16.0
261,25.3,0.0,30.2,5.4,21.9,16.2
262,25.3,0.0,30.2,5.4,21.9,16.2
263,25.2,0.0,30.1,5.4,21.9,16.1
264,25.3,0.0,30.4,24.6,22.0,16.2
265,25.5,0.0,19.7,24.7,22.0,16.2
266,25.6,0.0,20.0,24.8,22.1,16.3
267,26.1,0.0,21.1,25.3,22.6,16.7
268,26.0,0.0,20.9,25.2,22.5,16.7
269,25.7,0.0,20.4,25.0,22.3,16.5
270,25.9,0.0,20.7,25.2,22.4,16.6
271,25.6,0.0,20.1,24.9,22.1,16.4
272,25.4,0.0,19.5,24.6,21.9,16.2
273,24.9,0.0,25.6,24.3,10.7,9.7
274,24.0,0.0,17.9,22.9,9.2,8.7
275,23.0,0.0,9.3,21.6,7.5,7.7
276,22.4,0.0,4.5,21.1,6.6,7.2
277,21.8,0.0,0.0,12.9,10.9,9.8
278,21.6,0.0,0.0,13.0,5.0,6.7
279,21.8,0.0,0.0,13.6,5.7,7.1
280,16.8,0.0,18.7,14.2,8.0,7.6
281,17.7,0.0,27.9,14.8,8.7,8.1
282,18.0,0.0,29.2,15.0,19.9,14.6
283,18.3,0.0,30.5,15.3,20.2,14.9
284,10.4,0.0,25.4,4.1,20.5,15.1
285,10.5,0.0,25.6,4.1,20.5,15.1
286,10.4,0.0,25.3,4.0,20.4,15.0
287,10.4,0.0,25.4,4.1,20.5,15.1
288,18.6,0.0,25.8,23.3,20.6,15.1
