Hour,Demand_Zone 1,Demand_Zone 2,Demand_Zone 3,Demand_Zone 4,Demand_Zone 5
1,8.2,20.0,8.3,8.0,6.1
2,8.6,20.0,8.6,8.2,6.2
3,9.3,20.0,9.2,8.6,6.4
4,9.8,20.0,9.7,8.9,6.6
5,10.4,20.0,10.2,9.4,6.9
6,10.9,20.0,10.6,9.6,7.0
7,11.3,0.0,10.9,9.8,7.1
8,11.7,0.0,11.3,10.0,7.3
9,11.8,0.0,11.4,0.0,0.0
10,11.9,0.0,11.4,0.0,0.0
11,12.1,0.0,11.5,0.0,0.0
12,12.3,0.0,11.8,0.0,0.0
13,12.5,0.0,2.7,4.1,3.5
14,12.8,0.0,3.1,0.0,0.0
15,13.1,0.0,3.4,0.0,0.2
16,13.5,0.0,3.8,0.0,0.5
17,13.8,0.0,4.1,0.0,0.6
18,13.8,0.0,4.1,10.8,7.5
19,13.7,0.0,4.1,10.6,7.3
20,13.7,0.0,0.0,10.5,7.2
21,13.8,0.0,0.0,10.5,7.2
22,13.3,0.0,0.0,9.9,6.8
23,12.5,0.0,0.0,9.1,6.1
24,12.5,0.0,11.6,9.1,6.1
25,13.1,20.0,12.0,9.5,6.4
26,13.3,20.0,12.2,9.7,6.6
27,13.4,20.0,12.3,9.8,6.7
28,13.3,20.0,12.2,9.7,6.6
29,13.5,20.0,12.4,9.9,6.8
30,13.6,20.0,12.5,10.0,6.8
31,13.4,0.0,12.4,9.8,6.7
32,13.5,0.0,12.4,9.8,6.7
33,13.4,0.0,12.4,0.0,0.0
34,13.4,0.0,12.4,0.0,0.0
35,13.3,0.0,12.4,0.0,0.0
36,13.4,0.0,12.5,0.0,0.0
37,13.2,0.0,3.9,3.9,3.2
38,15.1,0.0,5.8,0.3,1.4
39,15.9,0.0,6.6,1.1,2.0
40,16.8,0.0,7.5,2.0,2.6
41,17.2,0.0,7.9,2.4,2.9
42,17.6,0.0,8.3,13.9,9.7
43,18.1,0.0,8.8,14.2,9.9
44,18.4,0.0,0.0,14.4,10.0
45,18.9,0.0,0.0,14.7,10.2
46,19.4,0.0,0.0,15.1,10.5
47,19.8,3.6,0.0,15.3,10.6
48,20.1,10.9,18.7,15.6,10.8
49,20.4,26.4,18.9,15.7,10.9
50,20.5,26.6,19.0,15.8,11.0
51,20.4,26.5,18.9,15.8,11.0
52,20.5,26.6,19.0,15.8,11.0
53,20.7,27.0,19.2,16.0,11.2
54,21.1,28.1,19.6,16.5,11.5
55,21.2,8.3,19.7,16.6,11.6
56,21.4,8.9,20.0,16.8,11.8
57,21.2,12.9,19.9,6.0,5.5
58,20.1,8.9,18.7,4.7,4.5
59,18.2,0.1,16.8,2.4,2.9
60,16.9,0.0,15.0,0.1,1.6
61,15.3,0.0,5.7,3.5,3.6
62,15.0,0.0,5.9,0.0,0.7
63,14.9,0.0,6.0,0.0,0.9
64,9.2,0.0,6.5,0.7,1.7
65,10.1,0.0,7.3,1.5,2.3
66,11.0,0.0,8.1,13.4,9.4
67,11.5,0.0,8.4,13.5,9.4
68,2.7,0.0,0.0,13.2,9.2
69,3.0,0.0,0.0,13.2,9.1
70,3.9,0.0,0.0,13.9,9.6
71,3.9,0.0,0.0,13.4,9.2
72,12.6,0.6,16.7,13.6,9.3
73,18.2,21.4,16.8,13.5,9.2
74,18.3,21.6,16.9,13.6,9.3
75,18.0,20.9,16.6,13.3,9.1
76,18.3,21.6,16.9,13.6,9.3
77,18.2,21.4,16.8,13.5,9.2
78,18.3,21.6,16.9,13.6,9.3
79,18.0,0.9,16.6,13.3,9.1
80,17.9,0.7,16.5,13.2,9.0
81,17.9,2.6,16.6,2.5,2.8
82,17.9,2.4,16.6,2.5,2.8
83,17.7,1.6,16.4,2.3,2.7
84,17.7,1.2,16.3,2.2,2.6
85,17.7,0.9,8.7,7.6,5.7
86,17.6,1.0,8.6,2.1,2.5
87,17.6,1.3,8.6,2.1,2.6
88,17.6,2.2,8.6,2.2,2.6
89,17.9,3.1,8.9,2.4,2.8
